epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.615,1.37973,1.68887,3.04101,1.36988,0.01861,0.90541,0.23599,0.12815,0.01889,0.91892,0.30326,0.19711,0.9626,2.26095,2.98419,1.00947,0.0802,0.0022,0.0022
2,496.722,1.21314,1.3301,1.58838,1.18343,0.87988,0.60811,0.71596,0.36771,0.97164,0.62162,0.75893,0.5238,0.99974,2.08546,2.65651,1.03211,0.0594777,0.00447772,0.00447772
3,725.836,1.14098,1.25821,1.2896,1.14627,1,0.22988,0.75734,0.45534,1,0.22988,0.76459,0.56834,1.03277,1.46136,2.37107,0.99423,0.0387327,0.00673268,0.00673268
4,960.993,1.17295,1.17882,1.20405,1.12738,0.94462,0.46102,0.80528,0.40696,1,0.48805,0.86712,0.57682,1.00513,2.35359,2.29009,1.05743,0.0179649,0.00896486,0.00896486
5,1197.29,1.2104,1.17516,1.17389,1.15214,0.8949,0.81081,0.85541,0.56484,0.93974,0.84298,0.85784,0.64871,1.05076,2.25957,1.55407,1.07932,0.009802,0.009802,0.009802
6,1440.16,1.14596,1.25148,1.13959,1.14105,0.86852,0.80337,0.86395,0.51751,0.89768,0.82989,0.88607,0.68905,1.14687,2.85099,1.48053,1.10897,0.0097525,0.0097525,0.0097525
7,1689.12,1.12419,1.13988,1.07544,1.10987,0.85312,0.78488,0.86203,0.45833,0.88288,0.81494,0.86715,0.63052,1.16907,2.29221,1.37908,1.21458,0.009703,0.009703,0.009703
8,1931.02,1.07322,1.08611,1.01363,1.08861,0.85093,0.85135,0.85599,0.46533,0.89104,0.88409,0.87725,0.66393,1.20274,2.55439,1.17632,1.31702,0.0096535,0.0096535,0.0096535
9,2172.78,1.0519,1.01641,0.97116,1.08689,0.83818,0.83995,0.86461,0.52589,0.86511,0.86671,0.8815,0.6726,1.0578,2.9421,1.07715,1.15993,0.009604,0.009604,0.009604
10,2425.11,1.05747,1.06647,0.93958,1.0775,0.84688,0.83784,0.86492,0.4721,0.90201,0.87072,0.88008,0.68417,1.25765,3.49256,1.13419,1.29419,0.0095545,0.0095545,0.0095545
11,2664.23,1.03439,0.99411,0.9186,1.0785,0.86201,0.84418,0.85848,0.52094,0.89275,0.91892,0.87303,0.68096,1.105,3.31379,1.09462,1.15291,0.009505,0.009505,0.009505
12,2908.06,1.00404,0.99904,0.88993,1.07121,0.86026,0.85135,0.81832,0.43813,0.92553,0.89189,0.879,0.65765,1.30066,3.02006,1.08498,1.2918,0.0094555,0.0094555,0.0094555
13,3149.96,1.00644,0.98086,0.86245,1.05611,0.82541,0.83053,0.78336,0.41557,0.89252,0.89773,0.86123,0.63243,1.3142,3.71828,1.15682,1.37459,0.009406,0.009406,0.009406
14,3393.38,0.9973,0.94823,0.88698,1.06742,0.81063,0.82432,0.81831,0.39433,0.87843,0.89189,0.866,0.62327,1.31598,3.35177,1.28398,1.36356,0.0093565,0.0093565,0.0093565
15,3628.41,0.97166,0.99793,0.84949,1.05846,0.85568,0.80125,0.84774,0.39938,0.92772,0.86722,0.90308,0.67846,1.4619,2.94524,1.19576,1.51061,0.009307,0.009307,0.009307
16,3867.24,0.95709,1.00359,0.83378,1.04664,0.87234,0.85135,0.88667,0.4922,0.91488,0.89189,0.88587,0.66666,1.28047,3.1359,1.04581,1.31884,0.0092575,0.0092575,0.0092575
17,4116.1,0.98137,0.98167,0.85051,1.0636,0.87843,0.71622,0.84413,0.5544,0.89522,0.72973,0.84769,0.65007,1.07878,1.77039,1.01861,1.17227,0.009208,0.009208,0.009208
18,4356.16,0.96286,0.94885,0.78832,1.03923,0.81931,0.7973,0.85369,0.53244,0.8819,0.81081,0.86678,0.67425,1.17486,2.96686,0.97525,1.24684,0.0091585,0.0091585,0.0091585
19,4600.88,0.94488,0.95433,0.78188,1.03939,0.83807,0.83929,0.86,0.52453,0.89205,0.89335,0.89696,0.6628,1.26658,2.52928,0.9599,1.35674,0.009109,0.009109,0.009109
20,4870.55,0.94488,0.91887,0.77048,1.03788,0.85898,0.83784,0.84019,0.49226,0.9144,0.89189,0.88561,0.64319,1.31348,2.99492,0.90194,1.3666,0.0090595,0.0090595,0.0090595
21,5130.23,0.9442,0.91721,0.78389,1.04156,0.83426,0.82432,0.85699,0.38455,0.88978,0.87838,0.89533,0.65373,1.51398,2.71673,1.02368,1.56231,0.00901,0.00901,0.00901
22,5422.51,0.91506,0.89407,0.74631,1.02532,0.82554,0.83784,0.85022,0.4363,0.88751,0.89189,0.89393,0.68846,1.39023,3.29791,0.9167,1.45022,0.0089605,0.0089605,0.0089605
