epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.9733,2.09403,3.57724,3.30645,1.44818,0.00041,0.01196,0.00021,4e-05,0,0,0,0,4.43387,2348.12,6.23992,14.5076,0.0802,0.0022,0.0022
2,30.7888,1.62306,2.07679,2.11789,1.20437,0.00016,0.00297,8e-05,2e-05,0,0,0,0,nan,nan,nan,nan,0.0594852,0.00448515,0.00448515
3,38.0835,1.55598,2.01292,1.90832,1.17826,0.00011,0.00254,5e-05,2e-05,0,0,0,0,5.07845,42996.9,inf,32.603,0.0387551,0.00675512,0.00675512
4,44.5404,1.47946,1.89704,1.82758,1.15575,0.00038,0.01632,0.00019,4e-05,0,0,0,0,4.90349,1648.57,inf,19.8183,0.0180099,0.00900991,0.00900991
5,50.436,1.46426,1.85153,1.77009,1.14677,3e-05,0.00079,1e-05,0,0,0,0,0,5.43522,414.698,inf,5.57445,0.009868,0.009868,0.009868
6,56.8405,1.44039,1.80269,1.74664,1.14253,0.5005,0.00073,9e-05,2e-05,0,0,0,0,4.80816,847.267,17.3411,8.92614,0.009835,0.009835,0.009835
7,62.7177,1.38807,1.72884,1.68003,1.12243,0.2787,0.40328,0.25219,0.13862,0.26133,0.38213,0.23389,0.10484,1.4463,5.83185,2.33072,1.24465,0.009802,0.009802,0.009802
8,69.1709,1.35847,1.69968,1.66441,1.10882,0.249,0.3787,0.25837,0.14747,0.23975,0.36928,0.25034,0.10794,1.34345,2.26172,4.82997,1.1984,0.009769,0.009769,0.009769
9,75.7393,1.36078,1.72174,1.64204,1.11355,0.2462,0.3675,0.26069,0.14893,0.2586,0.3529,0.25863,0.11512,1.31791,2.17484,4.13904,1.21061,0.009736,0.009736,0.009736
10,81.7617,1.33468,1.66346,1.63269,1.0975,0.34046,0.48767,0.38554,0.21972,0.34069,0.44743,0.36591,0.16824,1.32921,1.87,1.96401,1.13793,0.009703,0.009703,0.009703
11,87.701,1.31652,1.6343,1.601,1.08964,0.36224,0.45572,0.42487,0.2522,0.34775,0.42924,0.40346,0.18564,1.25848,2.09533,1.81708,1.11217,0.00967,0.00967,0.00967
12,93.983,1.2887,1.60232,1.57739,1.07632,0.23216,0.4783,0.31334,0.1813,0.22379,0.46479,0.30633,0.14496,1.263,1.85142,2.8551,1.12355,0.009637,0.009637,0.009637
13,100.996,1.26238,1.58172,1.57476,1.07184,0.39266,0.3601,0.3888,0.229,0.39702,0.36321,0.38333,0.18758,1.16603,1.5119,3.22355,1.09941,0.009604,0.009604,0.009604
14,106.844,1.27114,1.61011,1.55024,1.07062,0.34453,0.48328,0.40083,0.24629,0.42625,0.40044,0.38388,0.17637,1.15184,1.67671,1.98479,1.08709,0.009571,0.009571,0.009571
15,112.631,1.24916,1.54678,1.51871,1.05687,0.39386,0.50586,0.44439,0.28145,0.37778,0.49863,0.42547,0.21851,1.12484,1.63488,1.91752,1.066,0.009538,0.009538,0.009538
16,118.647,1.24747,1.55209,1.51685,1.05968,0.43171,0.5025,0.45315,0.28503,0.42987,0.50216,0.44726,0.22152,1.13756,1.60566,1.75716,1.05746,0.009505,0.009505,0.009505
17,124.467,1.23455,1.5265,1.52838,1.06166,0.42642,0.51261,0.45004,0.26962,0.42461,0.49495,0.4353,0.22692,1.14777,1.39912,1.71445,1.07618,0.009472,0.009472,0.009472
