epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.9389,1.59723,2.37304,2.25738,1.22087,0,0,0,0,0,0,0,0,3.7993,7.83695e+08,994622,2421.49,0.0802,0.0022,0.0022
2,34.0849,1.47748,1.89915,1.7975,1.16517,0,0,0,0,0,0,0,0,3.98122,2.60832e+11,5.5827e+06,20959,0.0594852,0.00448515,0.00448515
3,47.3091,1.45961,1.87443,1.76377,1.15876,5e-05,0.00043,3e-05,1e-05,0,0,0,0,4.03969,250829,139.239,27.1772,0.0387551,0.00675512,0.00675512
4,58.9793,1.39839,1.77598,1.72266,1.13524,0.00625,0.0054,0.00112,0.00042,0.0014,0.0004,3e-05,1e-05,4.12557,48117,13.0716,16.4691,0.0180099,0.00900991,0.00900991
5,70.1869,1.344,1.71045,1.67034,1.11289,0.27375,0.00225,0.00093,0.00012,0,0,0,0,4.42015,14004.2,12.8708,15.1281,0.009868,0.009868,0.009868
6,81.6273,1.31793,1.66632,1.63668,1.10716,0.04236,0.04278,0.01358,0.00618,0.03249,0.00488,0.0022,0.00036,3.53453,955.398,8.95083,6.5347,0.009835,0.009835,0.009835
7,94.3301,1.26998,1.59287,1.5931,1.0891,0.32437,0.36149,0.22506,0.13598,0.24964,0.40394,0.19606,0.07913,1.3353,6.85101,7.43699,1.23229,0.009802,0.009802,0.009802
8,105.908,1.25351,1.56476,1.57193,1.07682,0.35434,0.46659,0.327,0.19096,0.34467,0.43418,0.29913,0.14385,1.2476,1.90827,4.91825,1.16862,0.009769,0.009769,0.009769
9,117.416,1.25131,1.57989,1.54945,1.07712,0.38721,0.47043,0.37297,0.21987,0.39559,0.47184,0.36985,0.1726,1.20423,1.72466,3.06948,1.13196,0.009736,0.009736,0.009736
10,128.775,1.2206,1.52454,1.53811,1.06467,0.37036,0.5154,0.34749,0.21978,0.36896,0.51229,0.34673,0.17844,1.17504,1.60638,3.16423,1.13499,0.009703,0.009703,0.009703
11,141.392,1.20546,1.49439,1.51257,1.05583,0.36004,0.58096,0.44488,0.28306,0.35701,0.57494,0.43184,0.22036,1.12055,1.61155,2.09151,1.08997,0.00967,0.00967,0.00967
12,152.627,1.16308,1.45839,1.49529,1.04395,0.40963,0.54794,0.45628,0.29018,0.40146,0.53102,0.43965,0.22235,1.16289,1.54089,1.79462,1.08487,0.009637,0.009637,0.009637
13,163.782,1.16121,1.44387,1.48031,1.04588,0.44077,0.52538,0.4879,0.31173,0.44381,0.5157,0.48089,0.26986,1.07797,1.39613,1.55195,1.04467,0.009604,0.009604,0.009604
14,175.014,1.17814,1.45856,1.45855,1.0418,0.6094,0.45135,0.43109,0.2747,0.60603,0.44857,0.42454,0.22034,1.09708,1.46219,1.78179,1.07787,0.009571,0.009571,0.009571
15,185.906,1.14629,1.42012,1.43331,1.03116,0.39665,0.51254,0.42772,0.28605,0.38668,0.49669,0.40235,0.19606,1.0729,1.56507,1.56168,1.05108,0.009538,0.009538,0.009538
16,197.071,1.15117,1.42911,1.44612,1.03061,0.46203,0.57145,0.50597,0.33393,0.46474,0.5598,0.49254,0.28126,1.08848,1.36739,1.73754,1.04809,0.009505,0.009505,0.009505
17,208.626,1.13453,1.39655,1.45603,1.03136,0.49681,0.52421,0.49636,0.32287,0.4924,0.52182,0.49124,0.25955,1.08748,1.35848,2.09035,1.06516,0.009472,0.009472,0.009472
18,219.778,1.12774,1.38391,1.44096,1.0283,0.4214,0.5069,0.4165,0.26973,0.42906,0.4899,0.41116,0.20818,1.05545,1.33642,2.04593,1.05151,0.009439,0.009439,0.009439
19,230.537,1.12573,1.37355,1.43191,1.02552,0.3947,0.49869,0.44119,0.29383,0.40998,0.47053,0.43265,0.2408,1.06658,1.44607,2.21767,1.05357,0.009406,0.009406,0.009406
20,241.833,1.12456,1.40623,1.4022,1.02618,0.59609,0.38454,0.37721,0.2393,0.62215,0.3628,0.35541,0.18575,1.11879,1.55093,2.94923,1.08146,0.009373,0.009373,0.009373
21,253.074,1.11805,1.39591,1.4179,1.0263,0.6995,0.37051,0.43519,0.28716,0.68443,0.35498,0.40694,0.20801,1.05799,1.34279,2.29,1.03776,0.00934,0.00934,0.00934
22,263.853,1.09009,1.34838,1.38921,1.02088,0.4896,0.5209,0.482,0.33253,0.47698,0.50529,0.46656,0.25436,1.04521,1.2891,1.71798,1.0361,0.009307,0.009307,0.009307
23,274.652,1.10115,1.37203,1.38458,1.01637,0.39944,0.55123,0.50748,0.34755,0.39442,0.54313,0.49906,0.28024,1.00592,1.30207,1.83147,1.02706,0.009274,0.009274,0.009274
24,285.829,1.06973,1.31211,1.36259,0.99707,0.43869,0.5523,0.50914,0.35176,0.43623,0.55223,0.51248,0.28806,1.00781,1.21798,1.45685,1.02195,0.009241,0.009241,0.009241
25,296.964,1.09019,1.33269,1.35299,1.00821,0.47985,0.54204,0.51596,0.34898,0.47632,0.5354,0.50487,0.2988,0.97759,1.15824,1.40799,1.0004,0.009208,0.009208,0.009208
26,308.188,1.08265,1.33636,1.38478,1.01077,0.47651,0.56593,0.52027,0.36346,0.4836,0.56208,0.51909,0.28928,0.99358,1.24546,1.40525,1.0095,0.009175,0.009175,0.009175
27,319.558,1.06739,1.33383,1.3818,1.01216,0.53245,0.53054,0.52483,0.36008,0.52532,0.52554,0.50851,0.29901,0.99894,1.2203,1.45711,1.01905,0.009142,0.009142,0.009142
28,330.863,1.07267,1.31896,1.37023,1.00249,0.49481,0.59126,0.52245,0.36118,0.49207,0.56524,0.50836,0.29418,0.98206,1.19975,1.76785,1.01323,0.009109,0.009109,0.009109
29,341.657,1.05269,1.30355,1.35016,0.99646,0.38142,0.54276,0.43943,0.30438,0.38407,0.53041,0.43842,0.2445,1.00736,1.28158,2.1616,1.02183,0.009076,0.009076,0.009076
30,352.498,1.0457,1.30276,1.32413,0.99557,0.4314,0.56566,0.47064,0.32814,0.44414,0.54782,0.46364,0.26228,0.97607,1.23263,1.9492,1.00818,0.009043,0.009043,0.009043
31,363.266,1.03276,1.26631,1.33336,0.98907,0.45629,0.57114,0.51944,0.34889,0.45021,0.56338,0.50626,0.27968,1.07473,1.24119,1.66336,1.03491,0.00901,0.00901,0.00901
32,374.022,1.05126,1.30893,1.33543,0.99769,0.41516,0.56915,0.49352,0.34066,0.45701,0.51829,0.48894,0.28664,0.98396,1.18157,1.82965,1.00444,0.008977,0.008977,0.008977
33,384.746,1.04385,1.30394,1.3131,0.99245,0.44802,0.53306,0.48306,0.34296,0.45384,0.52985,0.48137,0.27306,0.96722,1.21822,1.88769,0.99778,0.008944,0.008944,0.008944
34,395.544,1.04324,1.29345,1.32953,0.99583,0.47725,0.41485,0.45117,0.32175,0.47827,0.41494,0.4498,0.2709,0.95991,1.13153,1.57172,0.98948,0.008911,0.008911,0.008911
