epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.4639,1.70667,2.62993,2.63288,1.27057,0.02423,0.11089,0.01331,0.00537,0.00053,0.00406,0.00027,6e-05,2.82554,14.2533,6.95965,2.54869,0.0802,0.0022,0.0022
2,34.9452,1.55744,1.99434,2.01071,1.19231,0,0,0,0,0,0,0,0,4.46977,204.667,4826.02,12.1696,0.0594852,0.00448515,0.00448515
3,44.1562,1.52356,1.94963,1.85117,1.17418,0.02557,0.06495,0.01176,0.00604,0.00583,0.02071,0.0023,0.00078,2.62482,53.8991,58.9375,2.45659,0.0387551,0.00675512,0.00675512
4,52.0905,1.46533,1.83895,1.78536,1.15927,0.05932,0.18737,0.04339,0.02322,0.04379,0.08439,0.03104,0.01345,1.97879,8.47173,13.4726,1.88192,0.0180099,0.00900991,0.00900991
5,59.1555,1.41739,1.7975,1.73583,1.13748,0.11224,0.33258,0.18361,0.10126,0.10334,0.25769,0.13956,0.05093,1.59041,5.00515,4.3333,1.43357,0.009868,0.009868,0.009868
6,66.1576,1.40409,1.76115,1.69958,1.13759,0.33634,0.26885,0.24586,0.13438,0.32729,0.26623,0.22651,0.09108,1.47972,2.37188,3.2352,1.34963,0.009835,0.009835,0.009835
7,73.6248,1.35389,1.71282,1.64324,1.11978,0.3175,0.41,0.33717,0.17974,0.33962,0.36537,0.3218,0.14562,1.38504,2.06774,2.53538,1.20025,0.009802,0.009802,0.009802
8,80.4175,1.38101,1.71761,1.65641,1.12169,0.35011,0.35422,0.3237,0.17936,0.32802,0.33793,0.29607,0.11553,1.47063,2.0873,2.58282,1.25591,0.009769,0.009769,0.009769
9,87.1839,1.34008,1.67887,1.60803,1.10605,0.35049,0.33,0.34716,0.19675,0.35934,0.33052,0.34459,0.16351,1.26497,1.89995,2.51404,1.14795,0.009736,0.009736,0.009736
10,96.0217,1.29297,1.61607,1.59648,1.08705,0.45051,0.47853,0.45336,0.2569,0.44778,0.47452,0.44273,0.21503,1.21674,1.64372,1.67788,1.13503,0.009703,0.009703,0.009703
11,103.567,1.2956,1.60503,1.56223,1.08992,0.41566,0.46081,0.42668,0.27207,0.39541,0.44446,0.39718,0.19517,1.18656,1.78052,1.66168,1.11705,0.00967,0.00967,0.00967
12,110.333,1.25647,1.58014,1.54338,1.07278,0.36173,0.505,0.4345,0.26234,0.40424,0.44447,0.41072,0.18836,1.21063,1.61617,1.66224,1.0991,0.009637,0.009637,0.009637
