                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6194,                 2.4198,                 2.6683,                 1.2112,                 0.0003,                0.02634,                0.00015,                  3e-05,                      0,                      0,                      0,                      0,                 3.9167,                 2370.3,                 417.41,                 62.083,                 0.0802,                 0.0022,                 0.0022
                      2,                 1.4916,                 1.9394,                 1.9591,                 1.1594,                0.00187,                0.01503,                0.00091,                0.00024,                      0,                      0,                      0,                      0,                 4.5073,                  19064,                 241.25,                 329.69,               0.059485,              0.0044852,              0.0044852
                      3,                 1.4553,                 1.8171,                 1.8016,                  1.152,                0.06824,                0.03615,                0.01906,                0.00252,                      0,                      0,                      0,                      0,                 3.9875,                  121.5,                 185.06,                 11.269,               0.038755,              0.0067551,              0.0067551
                      4,                 1.4048,                 1.7737,                 1.7323,                 1.1363,                0.19236,                0.29273,                0.15368,                0.07941,                0.13549,                0.18855,                 0.0861,                0.02619,                 1.8495,                 4.6998,                 2.4858,                 1.7021,                0.01801,              0.0090099,              0.0090099
                      5,                 1.3517,                  1.695,                 1.6667,                 1.1183,                0.04644,                  0.262,                0.04138,                0.02344,                0.04224,                0.20815,                0.03669,                0.01434,                 2.4645,                 5.0945,                 4.3338,                 2.3728,               0.009868,               0.009868,               0.009868
                      6,                 1.3026,                 1.6129,                 1.6094,                  1.099,                0.54826,                0.24816,                0.27057,                0.14958,                0.54042,                0.23833,                0.25484,                0.10295,                 1.4004,                 3.0263,                 3.6385,                 1.3217,               0.009835,               0.009835,               0.009835
                      7,                 1.2619,                  1.573,                 1.5522,                 1.0773,                0.27654,                  0.359,                0.23512,                0.14353,                0.25589,                0.33333,                0.21472,                0.09552,                 1.3276,                 2.7061,                 4.8537,                 1.2288,               0.009802,               0.009802,               0.009802
                      8,                  1.211,                 1.5435,                  1.557,                 1.0701,                0.28395,                0.48646,                0.32226,                0.19424,                0.28099,                0.47195,                0.31446,                0.15364,                 1.2322,                 2.0714,                 2.3086,                 1.1617,               0.009769,               0.009769,               0.009769
                      9,                 1.2222,                 1.5251,                 1.5413,                 1.0657,                0.64623,                0.37701,                0.38787,                0.24382,                0.64948,                0.38277,                0.39127,                 0.2026,                 1.1907,                 1.5758,                 2.5065,                  1.123,               0.009736,               0.009736,               0.009736
                     10,                 1.1797,                 1.4589,                 1.5104,                 1.0483,                0.28001,                0.33053,                0.24034,                0.14397,                0.27565,                0.32027,                0.23212,                0.09663,                 1.3432,                 2.2215,                 4.0704,                 1.2554,               0.009703,               0.009703,               0.009703
                     11,                 1.1997,                 1.4984,                 1.5103,                 1.0513,                0.40343,                0.44479,                0.39929,                0.26246,                0.40897,                0.44982,                0.40179,                0.20664,                 1.1852,                 1.6912,                 2.3844,                 1.1088,                0.00967,                0.00967,                0.00967
                     12,                 1.1919,                 1.4886,                 1.4898,                 1.0501,                0.38587,                0.42677,                0.41173,                0.25785,                0.38802,                0.42784,                0.40871,                0.20891,                 1.1053,                 1.4986,                 2.6265,                 1.0885,               0.009637,               0.009637,               0.009637
                     13,                 1.1733,                 1.4488,                 1.4765,                 1.0367,                0.44513,                 0.5627,                0.46422,                0.30457,                0.42406,                 0.5516,                 0.4328,                0.24003,                 1.0754,                 1.4132,                 2.0565,                   1.06,               0.009604,               0.009604,               0.009604
                     14,                 1.1149,                 1.3797,                 1.4104,                 1.0285,                 0.4162,                0.52891,                0.46259,                0.29339,                0.41554,                0.52713,                0.45263,                0.24088,                 1.0885,                 1.3958,                 2.2026,                 1.0641,               0.009571,               0.009571,               0.009571
                     15,                 1.1288,                 1.4019,                 1.4102,                 1.0241,                0.28149,                0.51108,                0.37924,                0.24258,                0.30052,                0.48028,                0.37448,                0.19848,                 1.1222,                 1.4865,                 2.9842,                 1.0893,               0.009538,               0.009538,               0.009538
                     16,                   1.13,                 1.3743,                 1.4229,                 1.0254,                0.39913,                0.56637,                0.43326,                0.27627,                0.38956,                0.54637,                0.40926,                0.20325,                 1.0729,                 1.3729,                 2.0917,                 1.0517,               0.009505,               0.009505,               0.009505
                     17,                 1.1206,                 1.3971,                 1.4092,                 1.0246,                0.44311,                0.47557,                0.47466,                0.32283,                0.44278,                0.47464,                0.46148,                0.25095,                 1.0878,                 1.3094,                 1.7345,                 1.0617,               0.009472,               0.009472,               0.009472
                     18,                 1.0994,                 1.3435,                 1.3799,                 1.0142,                0.50231,                0.48014,                0.45595,                0.30077,                0.48683,                  0.471,                0.43463,                0.23116,                 1.0498,                 1.3878,                 1.7616,                 1.0472,               0.009439,               0.009439,               0.009439
                     19,                 1.0941,                 1.3551,                 1.3778,                 1.0138,                0.41625,                0.59022,                0.49536,                0.33636,                0.45857,                0.52558,                0.48693,                 0.2604,                 1.0182,                 1.3125,                 1.8386,                 1.0313,               0.009406,               0.009406,               0.009406
                     20,                 1.0859,                 1.3636,                 1.3615,                  1.018,                0.42112,                0.59615,                0.50291,                0.34112,                0.42412,                0.58261,                0.49033,                0.27363,                 1.0039,                 1.2135,                 1.7413,                  1.022,               0.009373,               0.009373,               0.009373
                     21,                 1.0785,                 1.3528,                 1.3535,                 1.0039,                0.42591,                0.58428,                0.50139,                  0.344,                0.42656,                0.58142,                0.49984,                0.28263,                 1.0297,                 1.2468,                 1.7339,                  1.033,                0.00934,                0.00934,                0.00934
                     22,                 1.0785,                 1.3553,                 1.3451,                  1.007,                0.46588,                0.49578,                0.49733,                0.34313,                0.42573,                0.52285,                0.48927,                0.26511,                 1.0331,                 1.3279,                 1.5527,                 1.0369,               0.009307,               0.009307,               0.009307
                     23,                 1.0925,                 1.3465,                 1.3445,                 1.0101,                0.46293,                0.61343,                0.53959,                 0.3911,                0.47172,                0.55982,                0.52164,                0.31391,                0.94635,                 1.1181,                 1.4624,                0.99436,               0.009274,               0.009274,               0.009274
                     24,                 1.0609,                 1.3155,                 1.3384,                0.99605,                0.45014,                0.55712,                0.49281,                0.34127,                0.44016,                0.54044,                0.47604,                0.25514,                 1.0068,                  1.241,                 1.8188,                 1.0258,               0.009241,               0.009241,               0.009241
                     25,                 1.0656,                 1.3409,                 1.3364,                 1.0012,                0.42636,                0.61072,                0.50825,                0.35889,                 0.4275,                0.58289,                0.49474,                0.27853,                0.97763,                 1.1678,                 1.9652,                 1.0094,               0.009208,               0.009208,               0.009208
                     26,                 1.0502,                 1.2611,                 1.2993,                0.98923,                0.44243,                0.57439,                0.50218,                0.35945,                0.44075,                0.54928,                0.48986,                0.26979,                0.96167,                 1.1929,                 1.9474,                 1.0183,               0.009175,               0.009175,               0.009175
